Age,Gender,Occupation,Daily_Screen_Time_Hours,Sleep_Hours_Per_Night,Exercise_Frequency,Social_Interactions_Per_Week,Self_Reported_Stress_Level,Meditation_Practice,Caffeine_Intake_Daily,BMI_Category,Has_Chronic_Condition,Exercise_Frequency_Num,Meditation_Num,Caffeine_Num,BMI_Num,wellbeing_index,risk_behaviour_score
62,Female,Remote Worker,9.9,9.2,1-2x/week,7,6,Yes,2-3 cups,Obese,No,1.0,1,2.0,1,0.40321637426900586,12.9
79,Female,Engineer,6.2,3.8,3-5x/week,1,1,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.1603801169590643,8.2
74,Female,Student,8.2,11.7,,7,1,No,2-3 cups,Normal,No,,0,2.0,0,,10.2
70,Female,Remote Worker,6.8,7.4,1-2x/week,15,10,No,1 cup,Normal,No,1.0,0,1.0,0,0.5695906432748539,7.8
23,Female,Student,2.0,4.4,3-5x/week,4,3,Yes,2-3 cups,Normal,No,2.0,1,2.0,0,0.2720760233918129,4.0
45,Female,Unemployed,7.1,6.1,1-2x/week,2,10,No,2-3 cups,Normal,Yes,1.0,0,2.0,0,0.3624269005847953,9.1
45,Non-binary,Student,2.4,6.7,,11,10,Yes,,Overweight,No,,1,,2,,
61,Male,Remote Worker,6.7,9.8,1-2x/week,12,3,No,,Normal,No,1.0,0,,0,0.4023391812865498,
61,Male,Engineer,9.3,9.7,3-5x/week,12,4,No,1 cup,Normal,Yes,2.0,0,1.0,0,0.5523391812865497,10.3
37,Prefer not to say,Unemployed,9.1,8.5,1-2x/week,9,2,No,1 cup,Normal,No,1.0,0,1.0,0,0.2989766081871345,10.1
47,Female,Remote Worker,10.3,4.0,,3,9,Yes,2-3 cups,Obese,No,,1,2.0,1,,13.3
79,Female,Unemployed,2.3,4.4,1-2x/week,8,10,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.39415204678362575,4.3
28,Female,Healthcare,10.1,3.8,1-2x/week,1,7,No,,Underweight,No,1.0,0,,3,0.20204678362573092,
75,Male,Student,5.4,8.2,1-2x/week,18,7,No,,Overweight,No,1.0,0,,2,0.547953216374269,
72,Male,Healthcare,6.6,10.9,3-5x/week,0,6,No,4+ cups,Normal,No,2.0,0,3.0,0,0.48333333333333334,9.6
45,Female,Remote Worker,13.0,6.9,,6,3,No,,Normal,No,,0,,0,,
42,Male,Engineer,1.1,4.4,3-5x/week,16,6,No,1 cup,Normal,No,2.0,0,1.0,0,0.5133040935672515,2.1
56,Female,Unemployed,9.2,8.0,,2,8,No,1 cup,Overweight,No,,0,1.0,2,,12.2
79,Male,Student,9.4,10.3,1-2x/week,19,8,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.6472222222222221,10.4
50,Prefer not to say,Unemployed,6.6,9.7,,19,9,Yes,,Overweight,No,,1,,2,,
18,Prefer not to say,Remote Worker,4.3,10.9,1-2x/week,2,1,No,,Overweight,Yes,1.0,0,,2,0.24576023391812865,
74,Female,Unemployed,4.3,5.5,1-2x/week,2,1,Yes,,Normal,No,1.0,1,,0,0.09576023391812864,
44,Female,Student,13.4,4.7,1-2x/week,16,3,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.3133040935672515,14.4
79,Male,Remote Worker,7.2,10.9,,6,3,No,1 cup,Normal,No,,0,1.0,0,,8.2
74,Female,Unemployed,5.6,8.9,1-2x/week,13,10,No,1 cup,Overweight,No,1.0,0,1.0,2,0.5849415204678363,8.6
69,Female,Engineer,7.3,5.8,,16,8,No,2-3 cups,Normal,No,,0,2.0,0,,9.3
30,Male,Remote Worker,10.4,9.7,3-5x/week,17,10,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.7847953216374268,12.4
58,Non-binary,Remote Worker,3.0,10.3,Daily,12,1,No,,Normal,No,3.0,0,,0,0.610672514619883,
20,Female,Engineer,7.3,8.5,1-2x/week,19,2,Yes,1 cup,Obese,No,1.0,1,1.0,1,0.4305555555555556,9.3
56,Non-binary,Healthcare,9.2,9.2,1-2x/week,19,2,No,2-3 cups,Normal,Yes,1.0,0,2.0,0,0.45,11.2
23,Female,Student,14.3,6.4,1-2x/week,17,3,Yes,1 cup,Obese,Yes,1.0,1,1.0,1,0.3736842105263158,16.3
25,Female,Healthcare,4.5,7.8,,3,6,No,1 cup,Normal,No,,0,1.0,0,,5.5
44,Male,Unemployed,6.0,7.7,1-2x/week,0,1,No,2-3 cups,Underweight,No,1.0,0,2.0,3,0.13055555555555554,11.0
26,Non-binary,Engineer,6.3,10.6,3-5x/week,17,2,No,2-3 cups,Normal,Yes,2.0,0,2.0,0,0.5875730994152046,8.3
79,Female,Healthcare,9.5,10.6,1-2x/week,0,1,Yes,2-3 cups,Normal,No,1.0,1,2.0,0,0.21111111111111108,11.5
54,Male,Remote Worker,6.0,10.5,,12,5,No,1 cup,Normal,No,,0,1.0,0,,7.0
50,Male,Unemployed,8.5,3.1,3-5x/week,19,7,No,2-3 cups,Underweight,Yes,2.0,0,2.0,3,0.5444444444444444,13.5
68,Male,Unemployed,11.9,9.7,1-2x/week,19,8,Yes,1 cup,Obese,No,1.0,1,1.0,1,0.6305555555555555,13.9
59,Female,Healthcare,10.9,9.8,3-5x/week,9,10,Yes,2-3 cups,Overweight,No,2.0,1,2.0,2,0.6823099415204679,14.9
61,Prefer not to say,Healthcare,7.2,9.1,1-2x/week,10,1,Yes,1 cup,Overweight,Yes,1.0,1,1.0,2,0.3010233918128655,10.2
41,Male,Engineer,13.1,9.8,1-2x/week,8,7,No,,Normal,No,1.0,0,,0,0.4608187134502924,
32,Female,Student,8.8,10.6,,8,5,Yes,2-3 cups,Normal,No,,1,2.0,0,,10.8
76,Male,Healthcare,8.6,7.2,,4,10,No,1 cup,Underweight,No,,0,1.0,3,,12.6
71,Prefer not to say,Healthcare,1.5,7.5,Daily,0,1,No,1 cup,Overweight,No,3.0,0,1.0,2,0.375,4.5
49,Female,Remote Worker,14.8,4.1,,16,3,No,4+ cups,Obese,No,,0,3.0,1,,18.8
49,Female,Unemployed,2.7,6.5,Daily,1,7,Yes,,Normal,No,3.0,1,,0,0.527046783625731,
41,Female,Student,4.2,8.8,1-2x/week,12,10,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.5690058479532164,5.2
58,Male,Remote Worker,1.7,10.0,,8,1,No,,Normal,No,,0,,0,,
69,Male,Engineer,10.0,5.0,,3,7,No,2-3 cups,Normal,No,,0,2.0,0,,12.0
66,Male,Engineer,4.1,4.2,,4,5,No,2-3 cups,Normal,Yes,,0,2.0,0,,6.1
79,Female,Healthcare,3.5,9.0,Daily,10,1,No,1 cup,Overweight,No,3.0,0,1.0,2,0.5482456140350878,6.5
66,Female,Healthcare,2.2,3.0,1-2x/week,18,1,No,2-3 cups,Overweight,No,1.0,0,2.0,2,0.23684210526315788,6.2
75,Prefer not to say,Engineer,2.4,4.6,1-2x/week,2,1,No,1 cup,Normal,No,1.0,0,1.0,0,0.07076023391812865,3.4
69,Prefer not to say,Healthcare,9.2,3.3,1-2x/week,11,9,No,2-3 cups,Underweight,No,1.0,0,2.0,3,0.3752923976608187,14.2
29,Female,Student,10.6,4.5,,18,3,Yes,1 cup,Obese,No,,1,1.0,1,,12.6
79,Female,Healthcare,6.6,4.6,1-2x/week,18,5,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.3923976608187134,7.6
56,Non-binary,Unemployed,7.7,6.5,,12,10,Yes,4+ cups,Underweight,No,,1,3.0,3,,13.7
19,Female,Healthcare,10.6,6.6,3-5x/week,6,9,No,1 cup,Normal,No,2.0,0,1.0,0,0.5261695906432748,11.6
20,Male,Remote Worker,1.2,10.9,1-2x/week,14,6,No,,Underweight,No,1.0,0,,3,0.5425438596491228,
66,Female,Student,5.5,7.6,1-2x/week,6,9,No,1 cup,Normal,No,1.0,0,1.0,0,0.42894736842105263,6.5
54,Male,Remote Worker,14.6,9.5,1-2x/week,7,8,No,4+ cups,Overweight,No,1.0,0,3.0,2,0.46710526315789475,19.6
66,Prefer not to say,Remote Worker,9.1,3.9,1-2x/week,4,8,No,1 cup,Normal,No,1.0,0,1.0,0,0.2720760233918128,10.1
73,Female,Unemployed,4.6,5.0,Daily,13,1,No,,Normal,No,3.0,0,,0,0.4766081871345029,
34,Male,Student,8.3,9.3,1-2x/week,3,9,No,1 cup,Overweight,No,1.0,0,1.0,2,0.4366959064327486,11.3
76,Female,Student,5.8,3.5,,9,6,No,1 cup,Normal,Yes,,0,1.0,0,,6.8
66,Female,Student,8.5,7.4,1-2x/week,19,9,Yes,,Overweight,No,1.0,1,,2,0.5944444444444444,
19,Male,Student,2.8,8.4,,14,3,Yes,2-3 cups,Overweight,No,,1,2.0,2,,6.8
19,Male,Student,2.9,8.4,,17,3,Yes,4+ cups,Underweight,Yes,,1,3.0,3,,8.9
45,Female,Unemployed,3.0,3.2,Daily,19,6,No,1 cup,Overweight,No,3.0,0,1.0,2,0.6444444444444444,6.0
71,Female,Healthcare,14.2,5.9,3-5x/week,12,9,No,1 cup,Normal,No,2.0,0,1.0,0,0.585672514619883,15.2
40,Female,Remote Worker,11.3,8.7,Daily,7,7,No,1 cup,Obese,No,3.0,0,1.0,1,0.6671052631578946,13.3
54,Female,Student,3.3,4.3,1-2x/week,8,3,Yes,,Normal,Yes,1.0,1,,0,0.1969298245614035,
49,Female,Healthcare,3.6,9.3,1-2x/week,15,3,No,2-3 cups,Obese,No,1.0,0,2.0,1,0.42792397660818715,6.6
50,Female,Healthcare,11.2,9.7,,18,2,No,1 cup,Overweight,No,,0,1.0,2,,14.2
18,Female,Remote Worker,3.2,11.8,,15,9,Yes,1 cup,Normal,Yes,,1,1.0,0,,4.2
36,Female,Unemployed,4.3,4.9,3-5x/week,6,3,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.312280701754386,6.3
79,Male,Engineer,14.5,10.4,1-2x/week,13,5,Yes,1 cup,Obese,No,1.0,1,1.0,1,0.487719298245614,16.5
19,Male,Engineer,4.6,7.7,3-5x/week,13,9,No,2-3 cups,Overweight,No,2.0,0,2.0,2,0.6488304093567251,8.6
70,Male,Healthcare,10.3,6.4,3-5x/week,3,8,No,,Underweight,No,2.0,0,,3,0.4533625730994152,
61,Female,Remote Worker,14.7,4.1,,14,2,Yes,2-3 cups,Overweight,No,,1,2.0,2,,18.7
43,Female,Engineer,6.2,9.6,1-2x/week,2,3,Yes,4+ cups,Normal,No,1.0,1,3.0,0,0.2652046783625731,9.2
49,Female,Healthcare,1.2,5.1,1-2x/week,4,2,No,2-3 cups,Underweight,Yes,1.0,0,2.0,3,0.1387426900584795,6.2
23,Male,Unemployed,4.4,6.3,,0,8,No,4+ cups,Normal,Yes,,0,3.0,0,,7.4
49,Male,Engineer,12.6,3.6,3-5x/week,2,6,No,,Normal,No,2.0,0,,0,0.30687134502923974,
72,Male,Healthcare,13.1,10.2,1-2x/week,14,6,No,1 cup,Overweight,No,1.0,0,1.0,2,0.5230994152046783,16.1
21,Male,Healthcare,11.8,9.9,,7,9,No,2-3 cups,Normal,No,,0,2.0,0,,13.8
72,Female,Student,2.6,9.6,1-2x/week,3,8,No,1 cup,Overweight,Yes,1.0,0,1.0,2,0.4172514619883041,5.6
28,Male,Unemployed,12.1,5.7,Daily,1,4,No,1 cup,Underweight,Yes,3.0,0,1.0,3,0.4214912280701754,16.1
73,Male,Student,13.9,4.6,,9,4,No,1 cup,Normal,No,,0,1.0,0,,14.9
76,Non-binary,Remote Worker,9.4,8.7,3-5x/week,3,9,No,,Normal,No,2.0,0,,0,0.5450292397660819,
34,Male,Student,14.2,7.5,,2,1,No,1 cup,Normal,No,,0,1.0,0,,15.2
55,Female,Student,12.6,4.6,3-5x/week,1,2,No,,Underweight,No,2.0,0,,3,0.21038011695906433,
41,Female,Engineer,10.3,9.2,3-5x/week,16,2,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.5355263157894736,12.3
22,Male,Healthcare,9.1,11.9,1-2x/week,19,6,Yes,1 cup,Normal,Yes,1.0,1,1.0,0,0.6361111111111111,10.1
69,Female,Unemployed,5.9,9.7,1-2x/week,12,4,No,,Normal,No,1.0,0,,0,0.4273391812865497,
51,Female,Student,3.2,9.7,3-5x/week,4,10,No,1 cup,Normal,No,2.0,0,1.0,0,0.6137426900584795,4.2
23,Non-binary,Unemployed,9.5,11.6,1-2x/week,8,3,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.39970760233918123,10.5
39,Male,Student,5.5,4.8,3-5x/week,5,3,No,2-3 cups,Overweight,No,2.0,0,2.0,2,0.2963450292397661,9.5
28,Non-binary,Remote Worker,13.1,8.1,,4,3,No,1 cup,Obese,Yes,,0,1.0,1,,15.1
65,Female,Student,14.9,11.8,3-5x/week,9,6,Yes,1 cup,Normal,Yes,2.0,1,1.0,0,0.6267543859649123,15.9
33,Male,Engineer,11.5,4.5,3-5x/week,7,8,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.45321637426900585,13.5
50,Female,Healthcare,2.3,9.3,Daily,6,7,Yes,1 cup,Normal,No,3.0,1,1.0,0,0.6706140350877193,3.3
26,Prefer not to say,Remote Worker,5.0,8.3,,6,4,Yes,,Obese,Yes,,1,,1,,
77,Female,Student,2.5,8.3,1-2x/week,5,4,No,1 cup,Underweight,Yes,1.0,0,1.0,3,0.2963450292397661,6.5
76,Male,Unemployed,10.1,9.3,1-2x/week,19,10,No,4+ cups,Normal,Yes,1.0,0,3.0,0,0.675,13.1
23,Female,Remote Worker,11.7,11.4,1-2x/week,2,2,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.28742690058479536,12.7
33,Male,Remote Worker,14.0,10.0,1-2x/week,18,1,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.4312865497076024,15.0
46,Male,Student,7.1,3.5,,14,9,No,,Normal,No,,0,,0,,
20,Male,Remote Worker,13.6,10.7,3-5x/week,3,2,Yes,,Overweight,No,2.0,1,,2,0.40614035087719297,
37,Male,Unemployed,13.3,5.0,1-2x/week,11,8,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.39473684210526316,14.3
77,Male,Remote Worker,5.4,6.4,,5,9,No,1 cup,Overweight,Yes,,0,1.0,2,,8.4
76,Male,Unemployed,13.2,7.2,1-2x/week,18,4,Yes,,Normal,No,1.0,1,,0,0.43684210526315786,
53,Female,Student,6.3,7.3,1-2x/week,3,8,No,4+ cups,Underweight,Yes,1.0,0,3.0,3,0.35336257309941516,12.3
36,Male,Healthcare,5.2,6.9,,14,9,No,2-3 cups,Obese,No,,0,2.0,1,,8.2
43,Male,Remote Worker,10.1,11.4,Daily,8,10,No,1 cup,Normal,No,3.0,0,1.0,0,0.8385964912280702,11.1
20,Female,Healthcare,5.6,9.4,Daily,4,10,Yes,2-3 cups,Overweight,No,3.0,1,2.0,2,0.7304093567251462,9.6
36,Female,Unemployed,9.8,8.7,1-2x/week,12,5,No,,Normal,No,1.0,0,,0,0.4273391812865497,
37,Female,Remote Worker,9.5,3.4,,17,7,No,1 cup,Underweight,No,,0,1.0,3,,13.5
49,Male,Engineer,8.9,11.1,3-5x/week,4,10,No,2-3 cups,Obese,No,2.0,0,2.0,1,0.6526315789473685,11.9
24,Male,Healthcare,6.3,11.2,1-2x/week,15,4,Yes,2-3 cups,Normal,No,1.0,1,2.0,0,0.5084795321637426,8.3
69,Male,Remote Worker,8.7,10.0,1-2x/week,18,1,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.4312865497076024,12.7
58,Male,Healthcare,9.4,3.1,1-2x/week,13,3,No,1 cup,Normal,No,1.0,0,1.0,0,0.2293859649122807,10.4
50,Male,Remote Worker,8.6,3.5,1-2x/week,15,5,No,4+ cups,Overweight,No,1.0,0,3.0,2,0.3223684210526316,13.6
57,Male,Student,7.2,5.0,1-2x/week,14,3,Yes,,Underweight,No,1.0,1,,3,0.2953216374269006,
56,Male,Healthcare,1.2,4.2,1-2x/week,3,7,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.23947368421052628,3.2
35,Male,Engineer,9.2,6.6,1-2x/week,6,9,Yes,4+ cups,Overweight,No,1.0,1,3.0,2,0.40116959064327484,14.2
57,Female,Engineer,3.4,11.3,Daily,15,6,No,,Obese,No,3.0,0,,1,0.8168128654970761,
18,Male,Unemployed,10.0,7.2,1-2x/week,7,10,No,2-3 cups,Obese,No,1.0,0,2.0,1,0.4587719298245614,13.0
28,Male,Remote Worker,11.6,3.1,3-5x/week,16,1,No,,Overweight,No,2.0,0,,2,0.33830409356725144,
45,Female,Healthcare,8.0,5.5,3-5x/week,15,7,No,1 cup,Overweight,Yes,2.0,0,1.0,2,0.5584795321637426,11.0
74,Female,Unemployed,8.6,3.4,1-2x/week,9,3,No,1 cup,Normal,No,1.0,0,1.0,0,0.1850877192982456,9.6
42,Male,Healthcare,14.3,3.3,1-2x/week,9,5,No,1 cup,Normal,No,1.0,0,1.0,0,0.2378654970760234,15.3
67,Female,Remote Worker,12.9,5.5,1-2x/week,1,10,No,4+ cups,Normal,No,1.0,0,3.0,0,0.3326023391812865,15.9
40,Female,Engineer,13.8,5.5,1-2x/week,8,4,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.2580409356725146,15.8
48,Male,Student,12.4,10.1,3-5x/week,16,10,No,1 cup,Normal,No,2.0,0,1.0,0,0.7827485380116959,13.4
47,Female,Engineer,2.5,11.8,1-2x/week,10,5,Yes,2-3 cups,Normal,Yes,1.0,1,2.0,0,0.48713450292397664,4.5
59,Non-binary,Unemployed,3.1,6.3,Daily,9,5,Yes,4+ cups,Normal,No,3.0,1,3.0,0,0.5711988304093567,6.1
52,Male,Student,8.4,6.9,,16,6,No,,Overweight,Yes,,0,,2,,
24,Male,Unemployed,4.4,10.6,,3,10,No,4+ cups,Normal,Yes,,0,3.0,0,,7.4
77,Female,Remote Worker,7.7,5.4,1-2x/week,15,10,No,,Normal,No,1.0,0,,0,0.5140350877192983,
33,Female,Student,6.5,4.4,,19,6,Yes,2-3 cups,Normal,No,,1,2.0,0,,8.5
43,Male,Unemployed,8.7,10.7,,14,8,No,1 cup,Overweight,No,,0,1.0,2,,11.7
65,Male,Remote Worker,11.5,3.4,1-2x/week,4,8,No,,Overweight,No,1.0,0,,2,0.25818713450292397,
74,Male,Engineer,11.0,8.6,,5,9,No,1 cup,Overweight,Yes,,0,1.0,2,,14.0
69,Female,Remote Worker,8.3,8.1,,16,8,No,2-3 cups,Normal,No,,0,2.0,0,,10.3
77,Female,Healthcare,12.5,6.1,Daily,0,2,No,1 cup,Normal,No,3.0,0,1.0,0,0.3638888888888889,13.5
66,Male,Remote Worker,7.0,5.8,,18,10,No,,Underweight,No,,0,,3,,
19,Female,Remote Worker,13.6,9.9,3-5x/week,3,1,No,1 cup,Normal,No,2.0,0,1.0,0,0.35614035087719303,14.6
18,Female,Healthcare,2.0,3.8,3-5x/week,16,10,Yes,4+ cups,Normal,No,2.0,1,3.0,0,0.6077485380116958,5.0
65,Male,Unemployed,14.4,5.1,Daily,8,2,No,1 cup,Underweight,No,3.0,0,1.0,3,0.4413742690058479,18.4
79,Male,Unemployed,10.2,9.6,,1,2,No,1 cup,Normal,Yes,,0,1.0,0,,11.2
29,Female,Remote Worker,6.3,7.9,3-5x/week,7,3,No,1 cup,Obese,No,2.0,0,1.0,1,0.4087719298245614,8.3
22,Female,Healthcare,3.8,4.2,1-2x/week,14,10,Yes,,Obese,No,1.0,1,,1,0.4675438596491228,
54,Female,Healthcare,7.7,10.9,1-2x/week,6,7,No,2-3 cups,Normal,Yes,1.0,0,2.0,0,0.4650584795321637,9.7
49,Female,Engineer,3.7,6.5,1-2x/week,5,2,No,2-3 cups,Underweight,Yes,1.0,0,2.0,3,0.1907894736842105,8.7
76,Male,Unemployed,3.3,10.5,3-5x/week,0,1,Yes,1 cup,Normal,No,2.0,1,1.0,0,0.3333333333333333,4.3
72,Male,Student,9.6,10.1,1-2x/week,14,6,No,1 cup,Normal,No,1.0,0,1.0,0,0.5203216374269005,10.6
26,Female,Unemployed,8.3,8.6,3-5x/week,6,9,No,2-3 cups,Obese,Yes,2.0,0,2.0,1,0.5817251461988304,11.3
58,Male,Unemployed,10.4,7.5,1-2x/week,16,3,No,1 cup,Normal,No,1.0,0,1.0,0,0.3910818713450292,11.4
52,Male,Engineer,14.0,11.8,3-5x/week,1,6,No,2-3 cups,Overweight,No,2.0,0,2.0,2,0.5214912280701754,18.0
36,Male,Student,8.5,4.3,Daily,8,3,Yes,2-3 cups,Normal,No,3.0,1,2.0,0,0.4469298245614035,10.5
65,Male,Engineer,9.1,9.5,,8,1,No,2-3 cups,Obese,No,,0,2.0,1,,12.1
33,Male,Student,2.3,4.7,Daily,12,5,Yes,1 cup,Normal,No,3.0,1,1.0,0,0.5662280701754385,3.3
20,Male,Remote Worker,11.0,6.0,,5,10,No,1 cup,Overweight,No,,0,1.0,2,,14.0
37,Male,Student,6.6,5.8,,5,4,No,4+ cups,Normal,No,,0,3.0,0,,9.6
41,Male,Engineer,14.7,11.5,,19,7,No,1 cup,Overweight,No,,0,1.0,2,,17.7
71,Female,Unemployed,12.5,11.7,1-2x/week,19,6,Yes,2-3 cups,Normal,No,1.0,1,2.0,0,0.6305555555555555,14.5
73,Female,Student,8.3,4.6,1-2x/week,2,10,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.3207602339181287,9.3
50,Female,Student,2.7,3.2,,16,7,No,2-3 cups,Obese,No,,0,2.0,1,,5.7
41,Female,Healthcare,13.0,9.5,,16,5,No,1 cup,Obese,No,,0,1.0,1,,15.0
69,Female,Unemployed,12.2,6.8,Daily,11,4,No,,Overweight,No,3.0,0,,2,0.583625730994152,
28,Male,Remote Worker,3.6,3.8,3-5x/week,15,7,No,,Overweight,No,2.0,0,,2,0.5112573099415204,
66,Female,Engineer,5.1,9.2,3-5x/week,14,7,No,2-3 cups,Overweight,Yes,2.0,0,2.0,2,0.6480994152046783,9.1
25,Female,Remote Worker,12.1,7.9,3-5x/week,12,6,No,2-3 cups,Underweight,No,2.0,0,2.0,3,0.5578947368421052,17.1
53,Female,Unemployed,3.6,11.8,3-5x/week,0,8,Yes,1 cup,Normal,No,2.0,1,1.0,0,0.5638888888888889,4.6
55,Male,Student,13.8,5.0,,16,4,Yes,1 cup,Normal,No,,1,1.0,0,,14.8
57,Male,Student,6.9,6.6,1-2x/week,2,10,No,2-3 cups,Overweight,No,1.0,0,2.0,2,0.37631578947368416,10.9
37,Male,Unemployed,2.2,7.9,3-5x/week,14,5,No,,Normal,No,2.0,0,,0,0.5564327485380117,
79,Male,Student,12.4,10.1,,3,4,No,1 cup,Normal,No,,0,1.0,0,,13.4
52,Female,Student,6.2,7.9,1-2x/week,3,1,No,,Normal,No,1.0,0,,0,0.17558479532163745,
65,Female,Student,8.4,8.5,,17,8,Yes,,Overweight,Yes,,1,,2,,
79,Male,Engineer,2.6,5.0,1-2x/week,16,1,No,1 cup,Normal,No,1.0,0,1.0,0,0.26608187134502925,3.6
42,Prefer not to say,Engineer,1.0,10.6,1-2x/week,18,5,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.55906432748538,2.0
52,Female,Healthcare,9.9,6.9,1-2x/week,10,6,Yes,,Normal,No,1.0,1,,0,0.37880116959064325,
42,Male,Remote Worker,8.2,4.3,1-2x/week,19,6,No,1 cup,Normal,No,1.0,0,1.0,0,0.425,9.2
46,Male,Unemployed,9.3,9.0,1-2x/week,2,5,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.30409356725146197,10.3
35,Male,Unemployed,12.1,4.9,,7,3,No,1 cup,Overweight,No,,0,1.0,2,,15.1
63,Male,Unemployed,10.1,3.9,,13,5,Yes,1 cup,Overweight,No,,1,1.0,2,,13.1
35,Male,Healthcare,3.4,10.8,3-5x/week,0,8,No,2-3 cups,Overweight,No,2.0,0,2.0,2,0.5361111111111111,7.4
19,Male,Engineer,6.1,7.1,1-2x/week,13,2,No,,Normal,No,1.0,0,,0,0.31271929824561395,
71,Male,Healthcare,13.7,9.7,,1,6,Yes,1 cup,Overweight,Yes,,1,1.0,2,,16.7
52,Male,Unemployed,11.8,5.6,3-5x/week,3,9,No,,Normal,Yes,2.0,0,,0,0.4589181286549707,
33,Female,Remote Worker,8.8,10.1,,18,8,No,,Normal,No,,0,,0,,
78,Male,Student,4.6,4.0,1-2x/week,5,8,No,1 cup,Overweight,No,1.0,0,1.0,2,0.2880116959064327,7.6
58,Female,Engineer,5.2,6.2,,0,8,Yes,1 cup,Normal,Yes,,1,1.0,0,,6.2
53,Male,Engineer,11.2,11.8,3-5x/week,16,7,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.7466374269005848,13.2
50,Prefer not to say,Healthcare,12.9,10.1,1-2x/week,7,8,No,1 cup,Overweight,No,1.0,0,1.0,2,0.48377192982456135,15.9
21,Male,Engineer,10.4,7.5,,18,6,No,4+ cups,Normal,No,,0,3.0,0,,13.4
50,Male,Unemployed,12.3,6.1,3-5x/week,0,2,No,,Overweight,No,2.0,0,,2,0.23888888888888887,
31,Prefer not to say,Unemployed,11.7,10.8,1-2x/week,4,2,No,,Underweight,No,1.0,0,,3,0.2970760233918129,
38,Female,Healthcare,3.1,7.9,,15,8,No,,Overweight,No,,0,,2,,
65,Female,Unemployed,6.9,9.8,,5,1,No,,Normal,Yes,,0,,0,,
37,Male,Remote Worker,3.1,9.8,,7,6,No,1 cup,Underweight,No,,0,1.0,3,,7.1
73,Male,Healthcare,4.3,3.2,,12,6,No,2-3 cups,Overweight,No,,0,2.0,2,,8.3
25,Female,Remote Worker,13.2,4.1,1-2x/week,15,4,No,,Normal,No,1.0,0,,0,0.31125730994152045,
24,Non-binary,Student,7.6,8.9,3-5x/week,2,10,No,4+ cups,Normal,No,2.0,0,3.0,0,0.5652046783625732,10.6
20,Female,Remote Worker,8.5,4.5,1-2x/week,18,3,No,2-3 cups,Underweight,No,1.0,0,2.0,3,0.3340643274853801,13.5
34,Female,Student,3.5,5.3,,11,3,Yes,1 cup,Normal,Yes,,1,1.0,0,,4.5
50,Male,Student,5.4,11.5,,15,1,No,,Normal,No,,0,,0,,
65,Female,Remote Worker,4.2,8.0,,10,3,No,,Underweight,No,,0,,3,,
29,Male,Healthcare,3.9,9.8,1-2x/week,9,4,No,,Obese,No,1.0,0,,1,0.3906432748538012,
76,Male,Unemployed,9.9,8.0,3-5x/week,19,5,No,,Underweight,Yes,2.0,0,,3,0.625,
68,Male,Unemployed,4.6,8.0,,3,3,No,1 cup,Normal,No,,0,1.0,0,,5.6
39,Female,Student,9.8,3.8,3-5x/week,11,6,No,1 cup,Normal,No,2.0,0,1.0,0,0.43084795321637426,10.8
72,Male,Student,1.8,6.1,3-5x/week,1,5,Yes,1 cup,Normal,Yes,2.0,1,1.0,0,0.3353801169590643,2.8
39,Male,Healthcare,3.0,5.5,1-2x/week,18,3,No,4+ cups,Obese,No,1.0,0,3.0,1,0.36184210526315785,7.0
63,Female,Engineer,4.8,6.5,3-5x/week,4,6,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.4137426900584795,6.8
47,Male,Remote Worker,9.4,10.2,1-2x/week,7,6,No,4+ cups,Obese,No,1.0,0,3.0,1,0.4309941520467836,13.4
55,Female,Student,10.5,6.3,1-2x/week,6,8,No,,Normal,No,1.0,0,,0,0.36505847953216375,
55,Male,Unemployed,7.2,7.1,1-2x/week,13,2,No,1 cup,Overweight,No,1.0,0,1.0,2,0.31271929824561395,10.2
62,Female,Healthcare,7.2,6.6,1-2x/week,2,1,No,1 cup,Normal,No,1.0,0,1.0,0,0.12631578947368421,8.2
68,Female,Remote Worker,11.1,3.8,,17,4,Yes,,Overweight,No,,1,,2,,
71,Male,Healthcare,1.2,7.0,1-2x/week,15,7,Yes,,Normal,No,1.0,1,,0,0.4751461988304093,
